District_code,State_name,District_name,Population,Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education
48,PUNJAB,Patiala,1895686,1266791,173890,283837,239609,256826,157435,141947,27272,1280816,518772,1799588
49,PUNJAB,Amritsar,2490656,1684770,197944,313874,283819,328229,203656,142399,15879,1485800,540010,2025810
50,PUNJAB,Tarn Taran,1119627,666162,106878,165659,118366,147856,83290,21322,5077,648448,381879,1030327
51,PUNJAB,Rupnagar,684627,502731,53005,107715,98135,116836,68794,38823,9388,492696,124100,616796
53,PUNJAB,Sangrur,1655169,1002077,163251,250833,197901,220210,130155,73636,18393,1054379,570103,1624482
54,PUNJAB,Barnala,595527,359831,49367,90971,66695,81545,43467,23657,4665,360367,212388,572755
55,CHANDIGARH,Chandigarh,1055450,805438,80406,118667,114209,124707,98786,174528,20188,731491,184265,915756
56,UTTARAKHAND,Uttarkashi,330086,215126,43442,46625,47640,30901,24989,18882,981,213460,83896,297356
57,UTTARAKHAND,Chamoli,391605,280556,47447,68435,67519,47703,32557,27168,2367,293196,61950,355146
58,UTTARAKHAND,Rudraprayag,242285,170933,30562,50288,44605,28916,21131,15096,440,191038,45428,236466
59,UTTARAKHAND,Tehri Garhwal,618931,407994,72163,103462,95417,74008,58434,30704,2073,436261,133013,569274
60,UTTARAKHAND,Dehradun,1696694,1259506,142130,236027,240639,206730,187700,247622,26644,1287492,296538,1584030
61,UTTARAKHAND,Garhwal,687271,494889,91101,107794,111671,95590,74219,52076,5638,538089,123071,661160
62,UTTARAKHAND,Pithoragarh,483439,345550,63591,87585,90983,56591,42086,28375,2237,371448,88036,459484
63,UTTARAKHAND,Bageshwar,259898,179483,38113,47788,50340,31224,20785,10900,675,199825,49539,249364
64,UTTARAKHAND,Almora,622506,436497,90864,120029,115810,76148,53026,37742,2263,495882,109556,605438
65,UTTARAKHAND,Champawat,259648,177726,36127,48093,45766,23610,18360,15110,1317,188383,62429,250812
66,UTTARAKHAND,Nainital,954605,696500,90915,155681,157875,115317,98851,89101,6200,713940,166573,880513
67,UTTARAKHAND,Udham Singh Nagar,1648902,1037839,179602,302653,232381,169274,113661,111062,11786,1120419,438598,1559017
68,UTTARAKHAND,Hardwar,1890422,1178354,245515,336790,243719,165003,114114,134182,29377,1268700,580970,1849670
69,HARYANA,Panchkula,561293,405318,45607,73584,60177,69163,48306,83256,8466,388559,119222,507781
70,HARYANA,Ambala,1128350,818025,89558,170110,161844,163544,97980,91472,18727,793235,222031,1015266
71,HARYANA,Yamunanagar,1214205,832457,107222,194654,164652,159311,99170,82532,18666,826207,319428,1145635
72,HARYANA,Kurukshetra,964655,646893,94530,145392,118107,120790,81964,71007,10999,642789,266638,909427
73,HARYANA,Kaithal,1074304,646529,119345,158239,124682,117753,82297,51043,9111,662470,369869,1032339
74,HARYANA,Karnal,1505324,978013,155839,231354,188040,183590,124790,101387,19186,1004186,429220,1433406
75,HARYANA,Panipat,1205437,786599,118873,170565,143466,141473,91756,75774,10977,752884,296212,1049096
76,HARYANA,Sonipat,1450001,998316,138489,200458,182396,224639,150760,101186,19261,1017189,344813,1362002
77,HARYANA,Jind,1334152,832758,136892,185626,151682,154773,107994,64599,14277,815843,419624,1235467
78,HARYANA,Fatehabad,942011,557578,103541,136663,99948,93526,61476,37741,9504,542399,344534,886933
79,HARYANA,Sirsa,1295189,782897,141766,201349,153263,134559,83373,61620,16698,792628,412353,1204981
80,HARYANA,Hisar,1743931,1114311,197303,230074,194595,202792,144626,105346,19031,1093767,505251,1599018
81,HARYANA,Bhiwani,1634445,1069871,186145,223049,198307,218631,148995,104875,13786,1093788,459364,1553152
82,HARYANA,Rohtak,1061204,747582,117097,150903,140782,168499,109596,100346,21134,808357,248795,1057152
83,HARYANA,Jhajjar,958405,676091,90737,109829,115794,145258,97457,58826,9387,627288,201028,828316
84,HARYANA,Mahendragarh,922088,630255,94273,135849,126291,132765,94245,60296,10353,654072,245602,899674
85,HARYANA,Rewari,900332,636947,81280,120860,122617,139646,95807,65143,9820,635173,206827,842000
86,HARYANA,Gurgaon,1514432,1111116,126920,177453,175370,219200,150120,233402,41366,1123831,263720,1387551
87,HARYANA,Mewat,1089263,454897,125261,135842,67299,41836,22265,12453,5527,410483,619284,1029767
88,HARYANA,Faridabad,1809733,1272739,137902,220384,198551,282666,178846,259933,27864,1306146,346567,1652713
89,HARYANA,Palwal,1042708,599796,125474,142156,113940,102626,65963,43780,8373,602312,393825,996137
90,NCT OF DELHI,North West,3656539,2707855,228507,571255,607092,613393,519808,465677,22436,3028168,416720,3444888
91,NCT OF DELHI,North,887978,681517,58952,133915,142788,126121,97744,107099,11098,677717,125277,802994
92,NCT OF DELHI,North East,2241624,1611588,206524,500493,488767,341540,212438,122983,9199,1881944,257966,2139910
93,NCT OF DELHI,East,1709346,1352998,86484,219061,260094,267825,235187,246988,18644,1334283,169693,1503976
94,NCT OF DELHI,New Delhi,142004,114179,4641,11728,15326,15942,17742,23934,2186,91499,10098,101597
95,NCT OF DELHI,Central,582320,442360,34122,80924,96755,83244,62124,80251,6097,443517,87286,530803
96,NCT OF DELHI,West,2543243,1961179,157606,318376,365913,369114,327114,440295,54376,2032794,308139,2340933
97,NCT OF DELHI,South West,2292958,1787689,152945,255177,313817,335645,308513,400800,47723,1814620,278832,2093452
98,NCT OF DELHI,South,2731929,2078402,191659,368772,400595,430091,354078,458858,52503,2256556,328287,2584843
99,RAJASTHAN,Ganganagar,1969168,1193343,237042,314107,238397,163098,105734,104071,19396,1181845,710223,1892068
100,RAJASTHAN,Hanumangarh,1774692,1034136,239601,273441,219194,153628,104087,84185,14416,1088552,723454,1812006
101,RAJASTHAN,Bikaner,2363937,1278801,410155,333211,254335,143669,80296,101714,18577,1341957,1015331,2357288
102,RAJASTHAN,Churu,2039547,1149269,336671,302022,237220,161520,100677,77282,13320,1228712,910226,2138938
103,RAJASTHAN,Jhunjhunun,2137045,1370360,296093,305626,301866,256621,192240,158936,25286,1536668,712584,2249252
104,RAJASTHAN,Alwar,3674179,2182476,492781,492981,468628,324050,230415,222622,31390,2262867,1384905,3647772
105,RAJASTHAN,Bharatpur,2548462,1480869,363676,330336,314953,211938,147520,132571,23311,1524305,1104824,2629129
106,RAJASTHAN,Dhaulpur,1206516,683098,207566,172914,132964,77360,45590,37856,8194,682444,552106,1234550
107,RAJASTHAN,Karauli,1458248,805849,220644,193938,170399,104208,69443,67639,14402,840673,668926,1509599
108,RAJASTHAN,Sawai Madhopur,1335551,741748,205450,172925,151108,87349,57625,70870,14384,759711,586492,1346203
109,RAJASTHAN,Dausa,1634409,938051,229035,235474,208537,135234,92559,90833,13764,1005436,681980,1687416
110,RAJASTHAN,Jaipur,6626178,4300965,819004,875940,823570,659389,455527,703673,96562,4433665,2046038,6479703
111,RAJASTHAN,Sikar,2677333,1652117,369959,438872,367412,282595,200430,181282,19321,1859871,967497,2827368
112,RAJASTHAN,Nagaur,3307743,1758624,513871,486057,388822,242053,147701,117444,14853,1910801,1533137,3443938
113,RAJASTHAN,Jodhpur,3687165,2031532,497762,512035,405132,259304,154789,177199,30720,2036941,1591957,3628898
114,RAJASTHAN,Jaisalmer,669919,308653,109484,71132,41264,20142,12759,10604,1720,267105,397649,664754
115,RAJASTHAN,Barmer,2603751,1188322,406804,352636,219932,101291,52272,39533,7328,1179796,1501858,2681654
116,RAJASTHAN,Jalor,1828730,829582,270997,277152,181691,75304,32366,25210,7850,870570,1033534,1904104
117,RAJASTHAN,Sirohi,1036346,476806,117971,147381,110385,58213,30724,27076,5251,497001,577092,1074093
118,RAJASTHAN,Pali,2037573,1085693,293818,359329,271312,144581,71472,67021,9403,1216936,983050,2199986
119,RAJASTHAN,Ajmer,2583052,1526673,379043,394576,313680,200191,130608,172683,28138,1618919,1034334,2653253
120,RAJASTHAN,Tonk,1421326,749659,237191,190750,154825,91853,64431,67155,9919,816124,661902,1478026
121,RAJASTHAN,Bundi,1110906,585044,153500,159218,121104,63248,41227,41052,6460,585809,553622,1139431
122,RAJASTHAN,Bhilwara,2408523,1256126,398993,338296,258990,141250,92785,106667,10928,1347909,1180456,2528365
123,RAJASTHAN,Rajsamand,1156597,619139,190090,190388,140839,72969,41063,34286,4732,674367,544517,1218884
124,RAJASTHAN,Dungarpur,1388552,681591,238847,175059,114245,60656,42887,39312,4834,675840,764563,1440403
125,RAJASTHAN,Banswara,1797485,829343,240067,190259,137780,75011,50438,47094,8145,748794,1040914,1789708
126,RAJASTHAN,Chittaurgarh,1544338,821825,245603,225700,170455,90889,58129,67155,10768,868699,715545,1584244
127,RAJASTHAN,Kota,1951014,1298345,286676,294591,250092,172538,118710,167778,27485,1317870,588142,1906012
128,RAJASTHAN,Baran,1222755,693307,203489,194024,144190,76209,46847,49939,8057,722755,545842,1268597
129,RAJASTHAN,Jhalawar,1411129,739792,226614,203488,143108,73388,46267,47985,6972,747822,696680,1444502
130,RAJASTHAN,Udaipur,3068420,1582629,442946,386075,277392,164290,102085,142672,20010,1535470,1528671,3064141
131,RAJASTHAN,Pratapgarh,867848,401515,142397,111276,70969,35206,21854,19109,2137,402948,488621,891569
132,UTTAR PRADESH,Saharanpur,3466382,2077108,474060,600668,431491,256510,163463,154153,10083,2090428,1279517,3369945
133,UTTAR PRADESH,Muzaffarnagar,4143512,2417339,826387,780470,531913,281747,148770,98691,5608,2673586,1431537,4105123
134,UTTAR PRADESH,Bijnor,3682713,2135393,498971,827447,549594,255028,159528,148185,14658,2453411,1308683,3762094
135,UTTAR PRADESH,Moradabad,4772006,2263848,635957,725118,492338,296210,186311,186489,23372,2545795,2097292,4643087
136,UTTAR PRADESH,Rampur,2335819,1043666,278477,374898,171242,85117,51703,43839,3169,1008445,1235413,2243858
