District_code,State_name,District_name,Population,Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education
242,SIKKIM,West District,136435,93432,30518,30827,19973,10005,6439,4831,527,103120,28227,131347
243,SIKKIM,South District,146850,106741,24507,32427,22340,12415,7260,5766,488,105203,24395,129598
244,SIKKIM,East District,283583,214329,33578,53789,45602,29215,19258,20904,2682,205028,38142,243170
245,ARUNACHAL PRADESH,Tawang,49977,26073,4904,4730,4029,2140,1989,1379,667,19838,19203,39041
246,ARUNACHAL PRADESH,West Kameng,83947,48492,8836,10317,8428,5633,3987,2693,299,40193,25606,65799
247,ARUNACHAL PRADESH,East Kameng,78690,38449,11713,10487,8852,6213,4510,2330,142,44247,31763,76010
248,ARUNACHAL PRADESH,Papum Pare,176573,121048,15368,21956,21376,20007,17342,13840,926,110815,30360,141175
249,ARUNACHAL PRADESH,Upper Subansiri,83448,45278,10219,16118,15339,10348,8017,4276,473,64790,28364,93154
250,ARUNACHAL PRADESH,West Siang,112274,64746,14227,17675,15908,11441,8418,6030,521,74220,27956,102176
251,ARUNACHAL PRADESH,East Siang,99214,62576,9938,13713,13968,10937,9498,6540,525,65119,21543,86662
252,ARUNACHAL PRADESH,Upper Siang,35320,18195,3952,5584,4915,2935,2211,1349,46,20992,11209,32201
253,ARUNACHAL PRADESH,Changlang,148226,73174,20425,22537,17354,10032,5641,3633,834,80456,57290,137746
254,ARUNACHAL PRADESH,Tirap,111975,47974,13585,16989,12077,7834,4305,2134,182,57106,50628,107734
255,ARUNACHAL PRADESH,Lower Subansiri,83030,54057,8492,10821,11661,9861,7674,5230,295,54034,17273,71307
256,ARUNACHAL PRADESH,Kurung Kumey,92076,36606,12661,15054,12264,6997,4353,2031,299,53659,42621,96280
257,ARUNACHAL PRADESH,Dibang Valley,8004,4436,696,1258,1060,809,656,356,91,4926,2185,7111
258,ARUNACHAL PRADESH,Lower Dibang Valley,54080,31849,5875,7957,7351,5508,3570,2795,85,33141,14406,47547
259,ARUNACHAL PRADESH,Lohit,145726,83062,19306,25179,20643,13070,7612,5180,584,91574,52421,143995
260,ARUNACHAL PRADESH,Anjaw,21167,9990,2879,2946,2170,1167,793,502,98,10555,8723,19278
261,NAGALAND,Mon,250260,119626,37431,46055,30500,7628,3565,1772,107,127058,130529,257587
262,NAGALAND,Mokokchung,194622,159494,20259,43483,54035,27425,13077,10299,870,169448,22555,192003
263,NAGALAND,Zunheboto,140757,102881,16523,30889,35113,17282,8821,5560,1107,115295,25988,141283
264,NAGALAND,Wokha,166343,128208,15865,37024,41627,18746,10223,8030,401,131916,25048,156964
265,NAGALAND,Dimapur,378811,278037,34539,61815,80076,44343,26712,27532,2939,277956,58926,336882
266,NAGALAND,Phek,163418,105893,22494,32722,30434,12785,7268,5926,481,112110,44456,156566
267,NAGALAND,Tuensang,196596,117511,29602,40900,33514,15013,6008,2760,116,127913,66450,194363
268,NAGALAND,Longleng,50484,29859,7986,11884,8672,3458,1695,595,15,34305,18230,52535
269,NAGALAND,Kiphire,74004,41232,11197,15740,13645,5204,2052,997,76,48911,32120,81031
270,NAGALAND,Kohima,267988,197489,21654,46756,57726,30518,19855,23439,1770,201718,45802,247520
271,NAGALAND,Peren,95219,62204,9248,24527,20732,8082,3938,2169,75,68771,24790,93561
272,MANIPUR,Senapati,479148,264477,46757,81735,91395,62033,40438,24940,598,347896,191001,538897
273,MANIPUR,Tamenglong,140651,85006,11155,28461,26794,17867,11645,7102,270,103294,45317,148611
274,MANIPUR,Churachandpur,274143,195935,32860,67907,65475,38567,23284,14523,509,243125,57561,300686
275,MANIPUR,Bishnupur,237399,156333,15941,36011,50004,31775,20077,20074,1440,175322,67610,242932
276,MANIPUR,Thoubal,422168,269304,32396,69738,87932,55803,37899,28550,3214,315532,118088,433620
277,MANIPUR,Imphal West,517992,392626,32811,66042,104229,77472,60821,81876,9564,432815,87248,520063
278,MANIPUR,Imphal East,456113,324664,38436,69144,99202,60422,47390,50647,4102,369343,90250,459593
279,MANIPUR,Ukhrul,183998,129829,20670,29382,38350,31734,22729,15636,405,158906,42156,201062
280,MANIPUR,Chandel,144182,90302,17382,28163,30589,18971,12213,8105,240,115663,38191,153854
281,MIZORAM,Mamit,86364,60191,9328,19711,19949,10756,3180,1771,22,64717,20091,84808
282,MIZORAM,Kolasib,83955,65895,11367,18046,20399,9849,3473,2530,62,65726,14217,79943
283,MIZORAM,Aizawl,400309,340595,29332,68214,100103,78752,37701,31310,2058,347470,38248,385718
284,MIZORAM,Champhai,125745,100802,14491,31359,30454,16259,4956,4087,78,101684,15449,117133
285,MIZORAM,Serchhip,64937,54476,8771,14985,16237,9062,2915,2128,35,54133,5963,60096
286,MIZORAM,Lunglei,161428,121122,22181,33313,34774,19918,8503,5509,116,124314,32451,156765
287,MIZORAM,Lawngtlai,117894,62861,19890,21114,16629,10538,3763,2515,125,74574,54874,129448
288,MIZORAM,Saiha,56574,42233,8422,14151,12130,7269,3628,2204,69,47873,8787,56660
289,TRIPURA,West Tripura,1725739,1361354,248343,421485,451563,156277,88122,85405,13478,1464673,279053,1743726
290,TRIPURA,South Tripura,876001,646810,129846,223185,204201,70173,31690,26870,5160,691125,188363,879488
291,TRIPURA,Dhalai,378230,276217,64515,84516,74015,21430,9157,6425,890,260948,109130,370078
292,TRIPURA,North Tripura,693947,520402,129329,179547,158211,47160,22720,18419,3736,559122,156840,715962
293,MEGHALAYA,West Garo Hills,643291,358702,85733,129178,90963,70941,29404,10856,3547,420622,208900,629522
294,MEGHALAYA,East Garo Hills,317917,192147,51578,70679,52762,31328,9473,2484,298,218602,100781,319383
295,MEGHALAYA,South Garo Hills,142334,82062,25906,28921,21506,13858,3998,826,831,95846,44849,140695
296,MEGHALAYA,West Khasi Hills,383461,230678,80318,78208,45046,28417,12295,6450,541,251275,133244,384519
297,MEGHALAYA,Ribhoi,258840,155859,57680,58581,31103,20134,7632,3911,633,179674,78974,258648
298,MEGHALAYA,East Khasi Hills,825922,578030,118135,163729,127722,94579,58836,61639,9397,634037,168575,802612
299,MEGHALAYA,Jaintia Hills,395124,187527,67749,61526,34677,26748,13544,8039,2934,215217,165184,380401
300,ASSAM,Kokrajhar,887142,489305,116899,166013,154715,78788,39571,17287,2733,576006,340601,916607
301,ASSAM,Dhubri,1949258,922341,253638,299724,250242,100387,65082,34401,3863,1007337,992068,1999405
302,ASSAM,Goalpara,1008183,563577,124700,213510,183904,73683,39885,18294,3464,657440,375071,1032511
303,ASSAM,Barpeta,1693622,897058,210607,307884,300845,121924,87377,46947,8007,1083591,664161,1747752
304,ASSAM,Morigaon,957423,539902,130091,195656,179810,67969,40803,18462,2791,635582,351756,987338
305,ASSAM,Nagaon,2823768,1710716,392616,638088,576214,199792,115864,66994,10351,1999919,873197,2873116
306,ASSAM,Sonitpur,1924110,1108572,216097,416218,377653,141373,90385,49901,6412,1298039,627141,1925180
307,ASSAM,Lakhimpur,1042137,683486,126950,212080,217497,107326,82885,44212,4731,795681,275677,1071358
308,ASSAM,Dhemaji,686133,423028,79107,138838,136371,80804,55399,28006,2868,521393,194984,716377
309,ASSAM,Tinsukia,1327929,798322,150893,266717,276292,109805,61040,38152,7353,910252,417081,1327333
310,ASSAM,Dibrugarh,1326335,884531,143189,243607,301287,139813,89500,59380,6984,983760,340744,1324504
311,ASSAM,Sivasagar,1151050,813505,115378,208891,280517,158118,96939,53437,5554,918834,247114,1165948
312,ASSAM,Jorhat,1092256,794929,99454,201680,295444,128050,97025,62608,8433,892694,209170,1101864
313,ASSAM,Golaghat,1066888,721764,117393,223902,261192,111145,66197,36887,4084,820800,258897,1079697
314,ASSAM,Karbi Anglong,956313,557214,109324,212224,199289,93137,40602,18225,3426,676227,310093,986320
315,ASSAM,Dima Hasao,214102,140873,20780,43811,53736,27839,10859,5565,598,163188,57631,220819
316,ASSAM,Cachar,1736617,1174128,256855,447993,379469,156156,79766,45341,12951,1378531,357907,1736438
317,ASSAM,Karimganj,1228686,795297,198059,333885,257931,76685,39637,21408,7903,935508,303785,1239293
318,ASSAM,Hailakandi,659296,407366,88596,177984,139029,50056,28504,11608,4265,500042,173306,673348
319,ASSAM,Bongaigaon,738804,434078,93591,138294,133643,55924,35491,20221,2267,479431,260721,740152
320,ASSAM,Chirang,482162,259902,64999,92943,84682,37792,17702,6594,918,305630,172939,478569
321,ASSAM,Kamrup,1517542,995319,163849,290097,353861,154831,118849,55011,6444,1142942,392678,1535620
322,ASSAM,Kamrup Metropolitan,1253938,1001191,79177,160490,255522,148429,143478,167972,30795,985863,128773,1114636
323,ASSAM,Nalbari,771639,531771,75866,141690,192771,81507,71734,39368,3693,606629,188960,795589
324,ASSAM,Baksa,950075,572837,95444,195643,225635,96782,53446,15422,1839,684211,294784,978995
325,ASSAM,Darrang,928500,487039,119027,163277,161153,59039,47398,22267,3079,575240,375556,950796
326,ASSAM,Udalguri,831668,469926,101146,155720,162369,63394,34334,14001,1612,532576,306833,839409
327,WEST BENGAL,Darjiling,1846823,1315585,183479,344865,402415,176129,113905,110193,12851,1343837,415353,1759190
328,WEST BENGAL,Jalpaiguri,3872846,2498780,455854,765613,814395,292056,150360,129393,18916,2626587,1203423,3830010
329,WEST BENGAL,Koch Bihar,2819086,1850504,393492,595555,590626,209153,93119,81100,8712,1971757,873135,2844892
330,WEST BENGAL,Uttar Dinajpur,3007134,1489667,402590,488047,422777,163106,73395,59457,12723,1622095,1431264,3053359
331,WEST BENGAL,Dakshin Dinajpur,1676276,1083685,247675,323965,327064,135556,63286,52345,5190,1155081,534394,1689475
332,WEST BENGAL,Maldah,3988845,2086432,478902,629137,595551,238078,109719,92207,18330,2161924,1960034,4121958
333,WEST BENGAL,Murshidabad,7103807,4055834,837828,1428661,1210859,443254,230242,170051,25975,4346870,3031841,7378711
334,WEST BENGAL,Birbhum,3502404,2158447,417769,661190,622372,245201,122865,115743,15205,2200345,1346802,3547147
335,WEST BENGAL,Barddhaman,7717563,5247208,800473,1437198,1605634,698251,405935,439823,62616,5449930,2196886,7646816
336,WEST BENGAL,Nadia,5167600,3480555,605490,1093403,1052487,412193,236828,209562,25491,3635454,1570127,5205581
338,WEST BENGAL,Hugli,5519145,4078388,676265,1172797,1174912,515807,333658,380060,44252,4297751,1180806,5478557
339,WEST BENGAL,Bankura,3596674,2232992,450029,545200,686924,261478,143882,133465,20379,2241357,1417787,3659144
340,WEST BENGAL,Puruliya,2930115,1624905,299355,480046,528068,177459,91807,77621,10072,1664428,1272799,2937227
341,WEST BENGAL,Haora,4850029,3605206,516323,1059842,1084155,446743,284481,304594,37027,3733165,926661,4659826
342,WEST BENGAL,Kolkata,4496694,3588137,255171,597841,820902,555529,425245,691804,89701,3436193,410988,3847181
344,WEST BENGAL,Paschim Medinipur,5913457,4078412,831300,1139784,1289873,477973,262072,211437,35396,4247835,1689984,5937819
345,WEST BENGAL,Purba Medinipur,5095875,3923194,776367,1219166,1289927,444668,236549,184225,30677,4181579,1021541,5203120
346,JHARKHAND,Garhwa,1322784,653476,207665,195565,147446,87844,46882,28144,2830,716376,557852,1274228
347,JHARKHAND,Chatra,1042886,510061,200861,161729,102033,63670,35342,21697,2046,587378,467975,1055353
348,JHARKHAND,Kodarma,716259,390249,129677,130315,80561,52622,26415,20907,2374,442871,297992,740863
349,JHARKHAND,Giridih,2445474,1253475,503261,443980,261309,146464,77540,55122,8449,1496125,1047685,2543810
350,JHARKHAND,Deoghar,1492073,793538,217460,266292,190171,96331,54419,43979,6699,875351,635544,1510895
351,JHARKHAND,Godda,1313551,604519,217607,190777,126766,79430,47395,30870,4002,696847,653464,1350311
352,JHARKHAND,Sahibganj,1150567,483263,146399,171416,110822,52248,28087,19832,2593,531397,637296,1168693
353,JHARKHAND,Pakur,900422,352881,100367,133770,79045,29934,15700,9822,1525,370163,548434,918597
354,JHARKHAND,Dhanbad,2684487,1722204,317918,501453,449506,305054,186697,107382,14615,1882625,662522,2545147
355,JHARKHAND,Bokaro,2062330,1273520,242467,338861,342646,232434,154076,116396,21157,1448037,595924,2043961
356,JHARKHAND,Lohardaga,461790,259707,82873,84920,63545,38503,21987,13847,976,306651,188323,494974
357,JHARKHAND,Purbi Singhbhum,2293919,1507699,202047,346644,369670,278853,162210,157688,25048,1542160,525916,2068076
358,JHARKHAND,Palamu,1939869,1024563,303053,296937,231565,160964,100290,63595,7117,1163521,803424,1966945
359,JHARKHAND,Latehar,726978,350682,109491,121529,88787,46142,23885,13956,1017,404807,349277,754084
360,JHARKHAND,Hazaribagh,1734495,1013249,253962,322344,255576,173378,99945,79898,6512,1191615,613774,1805389
361,JHARKHAND,Ramgarh,949443,596497,115199,138748,134324,101381,70249,47207,5397,612505,292062,904567
362,JHARKHAND,Dumka,1321442,672409,229157,229259,149009,69525,38383,25593,2697,743623,601078,1344701
363,JHARKHAND,Jamtara,791042,426312,131150,132014,85745,40613,22995,14802,1578,428897,366012,794909
364,JHARKHAND,Ranchi,2914253,1911433,361522,547583,495515,370847,247237,195181,28424,2246309,613855,2860164
365,JHARKHAND,Khunti,531885,284575,64029,89730,89924,48591,20689,10130,537,323630,177856,501486
366,JHARKHAND,Gumla,1025213,559720,136719,242580,182260,82114,45613,23742,2913,715941,322119,1038060
367,JHARKHAND,Simdega,599578,343483,82317,130068,97580,47836,24842,13674,1197,397514,191341,588855
368,JHARKHAND,Pashchimi Singhbhum,1502338,727561,290007,461276,202752,79516,35824,10743,574,1080692,279016,1359708
369,JHARKHAND,Saraikela-Kharsawan,1065056,612993,134506,259984,177763,106348,49944,29840,1443,759828,228943,988771
370,ORISSA,Bargarh,1481255,983783,205253,310784,247014,147217,58840,49238,8133,1026479,442733,1469212
371,ORISSA,Jharsuguda,579505,405879,69122,101541,103622,70928,32909,22010,7932,408064,143508,551572
372,ORISSA,Sambalpur,1041099,703691,133005,185289,171876,108455,50705,45828,13071,708229,282248,990477
373,ORISSA,Debagarh,312520,197819,47615,58231,54088,27415,13420,9041,1729,211539,108811,320350
374,ORISSA,Sundargarh,2093437,1342322,208100,350349,335380,243386,120373,94710,36590,1388888,660465,2049353
375,ORISSA,Kendujhar,1801733,1052518,214518,287402,289350,158035,70059,57762,13918,1091044,700661,1791705
376,ORISSA,Mayurbhanj,2519738,1369397,283489,390037,385216,214921,92060,72847,17415,1455985,1094844,2550829
377,ORISSA,Baleshwar,2320529,1621232,342192,470502,416510,267354,112392,105962,27493,1742405,628627,2371032
378,ORISSA,Bhadrak,1506337,1094140,210736,391081,297270,177013,71815,67536,17449,1232900,323145,1556045
379,ORISSA,Kendrapara,1440361,1089265,218444,357621,298557,203472,76449,75926,12507,1242976,294723,1537699
380,ORISSA,Jagatsinghapur,1136971,889027,151737,251767,251332,185671,72703,70602,14001,997813,209984,1207797
381,ORISSA,Cuttack,2624470,2011469,289414,545514,513039,328319,159456,181601,45279,2062622,472182,2534804
382,ORISSA,Jajapur,1827192,1290455,261077,433653,330016,223657,96963,87623,19271,1452260,460953,1913213
383,ORISSA,Dhenkanal,1192811,829910,188872,238599,193395,132002,53162,43064,10903,859997,341887,1201884
384,ORISSA,Anugul,1273821,869456,180523,265782,204235,129226,58029,45588,16602,899985,347851,1247836
385,ORISSA,Nayagarh,962789,688362,174904,227102,177180,90089,36951,33148,5685,745059,232558,977617
386,ORISSA,Khordha,2251673,1749936,276378,445785,436534,295099,177974,247498,66645,1945913,371244,2317157
387,ORISSA,Puri,1698730,1291939,251520,413605,364098,179086,84374,87000,15511,1395194,309790,1704984
388,ORISSA,Ganjam,3529031,2210050,518072,767140,508511,297490,121151,97147,31266,2340777,1055331,3396108
389,ORISSA,Gajapati,577817,262537,68405,76419,54787,36977,17084,12556,1882,268110,335821,603931
390,ORISSA,Kandhamal,733110,399786,108606,145604,108773,48856,21351,14962,2462,450614,287948,738562
391,ORISSA,Baudh,441162,271612,74205,98316,67549,30799,12500,8124,1683,293176,146392,439568
392,ORISSA,Subarnapur,610183,398421,86120,139994,105846,65368,25556,16745,4881,444510,167244,611754
393,ORISSA,Balangir,1648997,927260,240180,298288,226728,116297,54694,42401,6810,985398,721389,1706787
394,ORISSA,Nuapada,610382,299383,64389,114394,73787,51886,19577,10131,4316,338480,316086,654566
395,ORISSA,Kalahandi,1576869,802036,213426,225468,172905,94044,40383,27385,6840,780451,765368,1545819
396,ORISSA,Rayagada,967911,407735,84956,97387,73210,46001,21439,17681,6306,346980,583140,930120
397,ORISSA,Nabarangapur,1220946,470379,116468,155611,95988,44522,16463,11198,2282,442532,739190,1181722
398,ORISSA,Koraput,1379647,568090,158847,158653,98266,60589,32257,29000,10200,547812,770707,1318519
399,ORISSA,Malkangiri,613192,244706,60913,64683,44962,19031,8487,5585,1202,204863,390356,595219
400,CHHATTISGARH,Koriya,658917,397823,143413,109639,87969,47127,38677,26802,4134,457761,179639,637400
401,CHHATTISGARH,Surguja,2359886,1187941,364452,338509,281260,135374,105992,64607,9524,1299718,991866,2291584
402,CHHATTISGARH,Jashpur,851669,495415,120768,137681,127299,64188,50562,26161,3166,529825,328438,858263
403,CHHATTISGARH,Raigarh,1493984,951639,246480,260661,210964,130700,93340,66358,8804,1017307,460166,1477473
404,CHHATTISGARH,Korba,1206640,748759,178191,188303,168387,89167,83166,61215,11792,780221,410186,1190407
405,CHHATTISGARH,Janjgir - Champa,1619707,1019634,257020,241692,241761,152183,127543,58712,7630,1086541,587734,1674275
406,CHHATTISGARH,Bilaspur,2663629,1596560,382091,407692,337793,189296,152838,134637,19654,1624001,943112,2567113
407,CHHATTISGARH,Kabeerdham,822526,414167,126806,123840,84147,37650,28074,16671,1679,418867,376852,795719
408,CHHATTISGARH,Rajnandgaon,1537133,1008379,263447,287436,267653,105149,82141,51698,5340,1062864,467554,1530418
409,CHHATTISGARH,Durg,3343872,2303378,463598,573291,497668,309508,286244,202424,30555,2363288,823501,3186789
410,CHHATTISGARH,Raipur,4063872,2629749,618508,664470,552373,313247,267265,227382,31483,2674728,1247434,3922162
411,CHHATTISGARH,Mahasamund,1032754,637963,179770,194739,152183,78583,57949,33357,5951,702532,384764,1087296
412,CHHATTISGARH,Dhamtari,799781,546833,143128,148544,120146,65196,58875,31319,5096,572304,214637,786941
413,CHHATTISGARH,Uttar Bastar Kanker,748941,456042,135206,124893,100674,47002,43956,21410,1658,474799,243039,717838
414,CHHATTISGARH,Bastar,1413199,650863,183667,178766,139330,60936,57413,32895,3227,656234,729550,1385784
415,CHHATTISGARH,Narayanpur,139820,56621,16980,16034,9513,4158,4488,2216,268,53657,78331,131988
416,CHHATTISGARH,Dakshin Bastar Dantewada,533638,191237,40079,39023,27720,16665,16905,11197,1372,152961,336963,489924
417,CHHATTISGARH,Bijapur,255230,86919,25597,22787,14170,7192,6755,3421,147,80069,163278,243347
418,MADHYA PRADESH,Sheopur,687861,328025,90911,70840,43009,37072,24732,17091,1497,285152,393141,678293
419,MADHYA PRADESH,Morena,1965970,1179685,288979,285682,228234,170254,115790,71005,8265,1168209,706917,1875126
420,MADHYA PRADESH,Bhind,1703005,1094917,202629,261162,199044,140743,96011,50222,8059,957870,388473,1346343
421,MADHYA PRADESH,Gwalior,2032036,1357210,235648,235924,204871,193082,166719,193947,23148,1253339,554486,1807825
422,MADHYA PRADESH,Datia,786754,491445,132176,131372,88949,73398,48978,34853,4262,513988,260076,774064
423,MADHYA PRADESH,Shivpuri,1726050,900846,261087,214162,125117,84684,58509,44812,6218,794589,719547,1514136
424,MADHYA PRADESH,Tikamgarh,1445166,747940,202448,188694,143231,78053,58245,35034,5340,711045,659348,1370393
425,MADHYA PRADESH,Chhatarpur,1762375,943033,270951,236054,160310,112961,77787,59704,7837,925604,770268,1695872
426,MADHYA PRADESH,Panna,1016520,552559,171707,134936,99251,70359,47903,29795,3052,557003,427997,985000
427,MADHYA PRADESH,Sagar,2378458,1545719,347752,426916,297079,214137,137899,116753,14346,1554882,711804,2266686
428,MADHYA PRADESH,Damoh,1264219,747715,197917,217296,150040,95032,64414,41158,5260,771117,469038,1240155
429,MADHYA PRADESH,Satna,2228935,1371781,338947,334635,309536,197373,148091,105499,16052,1450133,715509,2165642
430,MADHYA PRADESH,Rewa,2365106,1441757,344362,330131,312931,206274,180635,122371,11438,1508142,766166,2274308
431,MADHYA PRADESH,Umaria,644758,356672,90791,94011,74854,43418,27216,18144,2784,351218,230782,582000
432,MADHYA PRADESH,Neemuch,826067,508834,137656,127167,83189,69134,53465,42343,6119,519073,289113,808186
433,MADHYA PRADESH,Mandsaur,1340411,834591,244891,217234,149219,109751,77219,52546,4956,855816,467002,1322818
434,MADHYA PRADESH,Ratlam,1455069,825880,224715,194131,129392,111461,86507,67192,5868,819266,622153,1441419
435,MADHYA PRADESH,Ujjain,1986864,1240990,286534,280030,178295,159263,119586,111290,13282,1148280,659279,1807559
436,MADHYA PRADESH,Shajapur,1512681,894612,271215,239081,141225,111366,75967,48671,3391,890916,544791,1435707
437,MADHYA PRADESH,Dewas,1563715,925369,242508,225380,149522,125772,94403,55383,4991,897959,565365,1463324
438,MADHYA PRADESH,Dhar,2185793,1077338,262090,244058,164576,134279,99882,66721,6543,978149,1021851,2000000
439,MADHYA PRADESH,Indore,3276697,2309130,428413,472233,384611,362209,300076,382658,36326,2366526,718174,3084700
440,MADHYA PRADESH,Khargone (West Nimar),1873046,986234,287410,256930,152267,114246,89581,64150,5291,969875,932619,1902494
441,MADHYA PRADESH,Barwani,1385881,549926,157337,137116,74067,59100,42649,30754,2581,503604,825034,1328638
442,MADHYA PRADESH,Rajgarh,1545814,804245,239738,174381,103464,96386,72316,51499,4799,742583,706958,1449541
443,MADHYA PRADESH,Vidisha,1458875,862918,242021,214603,123650,104007,65581,59814,6780,816456,512311,1328767
444,MADHYA PRADESH,Bhopal,2371061,1660690,229082,303171,287198,211371,178165,266618,30845,1506450,462581,1969031
445,MADHYA PRADESH,Sehore,1311332,780362,193885,179388,136284,120687,77541,50655,6755,765195,508396,1273591
446,MADHYA PRADESH,Raisen,1331597,820220,237981,210402,144108,117908,69419,48384,4607,832809,444877,1277686
447,MADHYA PRADESH,Betul,1575362,939769,239114,232532,176325,140402,105696,82761,5876,982706,603098,1585804
448,MADHYA PRADESH,Harda,570465,352550,90059,87733,60757,46556,31939,27126,3469,347639,177731,525370
449,MADHYA PRADESH,Hoshangabad,1241350,810644,159703,183156,145076,119682,89589,84769,9279,791254,344492,1135746
450,MADHYA PRADESH,Katni,1292042,790773,198447,207366,161727,112242,80935,53578,6658,820953,465374,1286327
451,MADHYA PRADESH,Jabalpur,2463289,1756468,267932,352284,313910,268333,222987,235072,24872,1685390,540029,2225419
452,MADHYA PRADESH,Narsimhapur,1091854,718785,160765,180070,128758,109996,82020,52763,5802,720174,356987,1077161
453,MADHYA PRADESH,Dindori,704524,378714,103002,113875,84065,49277,31104,15179,1674,398176,295655,693831
454,MADHYA PRADESH,Mandla,1054905,604962,156711,170994,115632,82166,58066,35476,4587,623632,376944,1000576
455,MADHYA PRADESH,Chhindwara,2090922,1294198,284113,336391,225747,215098,167946,112383,12141,1353819,663446,2017265
456,MADHYA PRADESH,Seoni,1379131,864194,223650,241327,151636,116124,84398,55984,6427,879546,458811,1338357
457,MADHYA PRADESH,Balaghat,1701698,1147623,290699,312640,235251,168635,126308,74213,7414,1215160,493415,1708575
458,MADHYA PRADESH,Guna,1241519,653980,197902,157141,84560,79924,50724,42147,6451,618849,578034,1196883
459,MADHYA PRADESH,Ashoknagar,845071,469109,148647,117053,62802,51499,29551,22791,3466,435809,359525,795334
460,MADHYA PRADESH,Shahdol,1066063,604194,161972,154282,128427,80402,60915,46513,5352,637863,422736,1060599
461,MADHYA PRADESH,Anuppur,749237,436595,113208,115716,93450,58536,42743,31646,3066,458365,271733,730098
462,MADHYA PRADESH,Sidhi,1127033,600785,185550,168224,129344,80312,60845,33067,3896,661238,477472,1138710
463,MADHYA PRADESH,Singrauli,1178273,585054,189929,150446,103971,61089,42434,30597,7449,585915,517447,1103362
464,MADHYA PRADESH,Jhabua,1025048,352081,98308,79781,40466,38236,28990,20240,1973,307994,775664,1083658
465,MADHYA PRADESH,Alirajpur,728999,209754,43866,44457,22410,18213,15358,10040,1028,155372,658684,814056
466,MADHYA PRADESH,Khandwa (East Nimar),1310061,731615,203486,201537,115166,77010,56847,42771,4970,701787,551824,1253611
467,MADHYA PRADESH,Burhanpur,757847,408679,107547,119468,69765,57058,42618,28237,4761,429454,317962,747416
468,GUJARAT,Kachchh,2092371,1252319,246956,469402,141345,157284,61366,60386,14062,1150801,581952,1732753
469,GUJARAT,Banas Kantha,3120506,1704923,366867,859436,159433,226765,105372,66950,14451,1799274,1207376,3006650
470,GUJARAT,Patan,1343734,837913,168990,364667,78731,129584,57494,46355,11111,856932,452891,1309823
471,GUJARAT,Mahesana,2035064,1502645,260278,467128,183468,266108,139208,130723,27391,1474304,434497,1908801
472,GUJARAT,Sabar Kantha,2428589,1578734,214062,597667,211423,333650,198963,110817,24745,1691327,665058,2356385
473,GUJARAT,Gandhinagar,1391753,1030494,136131,363156,133594,196456,95730,108400,16088,1049555,246993,1296548
474,GUJARAT,Ahmadabad,7214225,5435760,761358,1614370,805199,1135058,549188,839295,100831,5805299,1129562,6934861
475,GUJARAT,Surendranagar,1756268,1093626,234873,482679,165406,172947,61164,58389,14501,1189959,493427,1683386
476,GUJARAT,Rajkot,3804558,2725056,383780,913928,402240,540278,204306,266295,29924,2740751,738660,3479411
477,GUJARAT,Jamnagar,2160119,1396534,255785,491009,194057,199634,74029,87523,18573,1320610,502873,1823483
478,GUJARAT,Porbandar,585449,393678,50588,150643,71637,63458,25119,22458,5260,389163,137119,526282
479,GUJARAT,Junagadh,2743082,1842818,271762,700258,294811,311849,137505,139957,30127,1886269,669022,2555291
480,GUJARAT,Amreli,1514190,995459,230474,412251,120625,149478,66785,50999,8582,1039194,380595,1419789
481,GUJARAT,Bhavnagar,2880365,1887255,422461,929286,266953,281250,96241,93391,13946,2103528,508664,2612192
482,GUJARAT,Anand,2092745,1551253,257524,560542,229013,283571,127459,110351,20487,1588947,360506,1949453
483,GUJARAT,Kheda,2299885,1660243,295057,641541,250044,310341,148530,84223,19498,1749234,482078,2231312
484,GUJARAT,Panch Mahals,2390776,1440805,255905,601358,205420,283648,139773,71810,17958,1575872,781582,2357454
485,GUJARAT,Dohad,2127086,1007171,214098,392739,114168,156556,95794,41458,9656,1024469,1047088,2071557
486,GUJARAT,Vadodara,4165626,2893080,396624,865726,457662,504732,268451,314960,60177,2868332,910219,3778551
487,GUJARAT,Narmada,590297,370336,76197,146661,58188,52687,28396,14748,3451,380328,192780,573108
488,GUJARAT,Bharuch,1551019,1118276,161675,367060,164765,188539,83895,74380,16036,1056350,273829,1330179
489,GUJARAT,The Dangs,228291,140968,43639,59954,17736,14872,7560,3490,2215,149466,91160,240626
490,GUJARAT,Navsari,1329672,1001909,145678,266733,140235,190861,112460,85041,26012,967020,261956,1228976
491,GUJARAT,Valsad,1705678,1170657,165459,303197,171712,212318,123281,90912,26987,1093866,405928,1499794
492,GUJARAT,Surat,6081322,4571410,566242,1332690,807021,896927,433651,379505,79862,4495898,942150,5438048
493,GUJARAT,Tapi,807022,490036,84559,174139,75545,86580,49482,31743,8767,510815,292102,802917
494,DAMAN AND DIU,Diu,52074,38058,1872,7668,8545,9051,4367,1906,635,34044,10735,44779
495,DAMAN AND DIU,Daman,191173,150348,8957,28094,30406,26991,14170,9128,1995,119741,20641,140382
497,MAHARASHTRA,Nandurbar,1648295,906509,166664,218718,121404,160961,113019,58461,9248,848475,790613,1639088
498,MAHARASHTRA,Dhule,2050862,1293916,200494,323641,208571,290656,182739,114931,14526,1335558,649568,1985126
