District_name,State_name,Hindus,Muslims,Sikhs,Buddhists,Jains,Christians,Others_Religions,Population
Tumkur,KARNATAKA,2413812,245923,477,187,5067,9130,161,2678980
Bangalore,KARNATAKA,7725070,1248294,13254,5531,83090,504863,498,9621551
Mandya,KARNATAKA,1712695,77801,322,299,3607,8506,109,1805769
Hassan,KARNATAKA,1630814,120011,289,623,5820,15611,3,1776421
Dakshina Kannada,KARNATAKA,1403854,501896,525,445,10397,171398,138,2089649
Kodagu,KARNATAKA,448986,87274,139,126,250,17130,220,554519
Mysore,KARNATAKA,2631985,290549,1255,16194,14419,39361,493,3001127
Chamarajanagar,KARNATAKA,942071,47210,136,4872,761,22183,140,1020791
Gulbarga,KARNATAKA,2011014,513125,826,9589,4865,8344,330,2566326
Yadgir,KARNATAKA,997974,155340,331,7970,1519,8677,996,1174271
Kolar,KARNATAKA,1305431,199873,253,150,2494,26722,92,1536401
Chikkaballapura,KARNATAKA,1100131,147810,264,85,975,4684,77,1255104
Bangalore Rural,KARNATAKA,890429,92252,389,272,1045,5368,85,990923
Ramanagara,KARNATAKA,959260,114311,383,104,859,6390,57,1082636
North Goa,GOA,622213,57941,618,553,546,134169,166,818008
South Goa,GOA,341664,63623,855,542,563,231961,92,640537
Lakshadweep,LAKSHADWEEP,1788,62268,8,10,11,317,7,64473
Kasaragod,KERALA,729987,486913,151,362,130,87454,152,1307375
Kannur,KERALA,1509592,742483,424,1118,193,262526,722,2523003
Wayanad,KERALA,404460,234185,61,312,1797,174453,286,817420
Kozhikode,KERALA,1734958,1211131,297,235,601,131516,588,3086293
Malappuram,KERALA,1135259,2888849,205,179,68,81556,579,4112920
Palakkad,KERALA,1875980,812936,220,238,78,114397,400,2809934
Thrissur,KERALA,1823442,532839,259,278,62,757484,585,3121200
Ernakulam,KERALA,1509557,514397,860,614,1176,1248137,1083,3282388
Idukki,KERALA,541854,82206,100,189,44,481507,384,1108974
Kottayam,KERALA,983598,126499,204,358,83,858608,565,1974551
Alappuzha,KERALA,1460447,224545,268,146,74,435056,311,2127789
Pathanamthitta,KERALA,681666,55074,153,150,44,456404,262,1197412
Kollam,KERALA,1697635,508500,208,272,63,421598,619,2635375
Thiruvananthapuram,KERALA,2194057,452915,404,301,76,630573,1082,3301427
Thiruvallur,TAMIL NADU,3325823,143093,1422,951,3693,233633,530,3728104
Chennai,TAMIL NADU,3751322,439270,2851,2804,51708,358662,1759,4646732
Kancheepuram,TAMIL NADU,3537399,173785,1620,990,4962,256762,756,3998252
Vellore,TAMIL NADU,3397857,414760,676,438,3514,111390,251,3936331
Tiruvannamalai,TAMIL NADU,2294369,91636,232,157,7898,66987,110,2464875
Viluppuram,TAMIL NADU,3174941,133896,325,238,4032,138279,278,3458873
Salem,TAMIL NADU,3326357,95487,412,174,992,53841,246,3482056
Namakkal,TAMIL NADU,1673652,32483,183,108,84,16909,199,1726601
Erode,TAMIL NADU,2115455,76098,435,148,639,55899,157,2251744
The Nilgiris,TAMIL NADU,569477,78452,338,382,910,84610,87,735394
Dindigul,TAMIL NADU,1879494,105012,313,256,71,169945,138,2159775
Karur,TAMIL NADU,993666,53292,115,29,7,16483,79,1064493
Tiruchirappalli,TAMIL NADU,2279413,190964,324,250,628,246156,253,2722290
Perambalur,TAMIL NADU,521658,32702,83,39,38,10301,26,565223
Ariyalur,TAMIL NADU,708397,7942,104,88,65,37403,42,754894
Cuddalore,TAMIL NADU,2391675,123749,401,236,1280,83334,138,2605914
Nagapattinam,TAMIL NADU,1435072,128617,184,450,963,47579,110,1616450
Thiruvarur,TAMIL NADU,1132785,96092,258,151,279,33192,64,1264277
Thanjavur,TAMIL NADU,2075870,190814,231,795,1256,133971,148,2405890
Pudukkottai,TAMIL NADU,1428784,114194,119,81,32,72850,293,1618345
Sivaganga,TAMIL NADU,1186078,74310,150,80,109,75481,24,1339101
Madurai,TAMIL NADU,2760502,168881,520,199,1532,97711,305,3038252
Theni,TAMIL NADU,1148990,56751,152,79,28,37574,74,1245899
Virudhunagar,TAMIL NADU,1822626,47838,245,87,98,67405,75,1942288
Ramanathapuram,TAMIL NADU,1047411,208038,154,86,29,91139,36,1353445
Thoothukkudi,TAMIL NADU,1373920,80740,127,286,53,291908,112,1750176
Tirunelveli,TAMIL NADU,2425630,303368,268,373,144,342254,450,3077233
Kanniyakumari,TAMIL NADU,909872,78590,160,438,156,876299,10,1870374
Dharmapuri,TAMIL NADU,1452956,38304,164,39,37,14089,87,1506843
Krishnagiri,TAMIL NADU,1723737,115303,468,121,373,35956,221,1879809
Coimbatore,TAMIL NADU,3044145,211035,1112,435,3284,190314,237,3458045
Tiruppur,TAMIL NADU,2278835,123983,455,198,371,70015,119,2479052
Yanam,PONDICHERRY,53537,1191,3,1,4,873,4,55626
PONDICHERRY,PONDICHERRY,855294,32674,245,366,1328,58328,147,950289
Mahe,PONDICHERRY,27940,12856,3,21,14,958,3,41816
Karaikal,PONDICHERRY,152638,28835,46,63,54,18391,14,200222
Nicobars,ANDAMAN AND NICOBAR ISLANDS,8681,1336,343,119,0,26077,248,36842
North  AND Middle Andaman,ANDAMAN AND NICOBAR ISLANDS,81163,2165,77,84,4,21870,47,105597
South Andaman,ANDAMAN AND NICOBAR ISLANDS,174452,28912,866,135,27,33037,269,238142
