District_code,State_name,District_name,Population,SC,ST
578,KARNATAKA,Chamarajanagar,1020791,259445,120219
579,KARNATAKA,Gulbarga,2566326,648782,65259
580,KARNATAKA,Yadgir,1174271,273315,146849
581,KARNATAKA,Kolar,1536401,465867,78875
582,KARNATAKA,Chikkaballapura,1255104,312565,156487
583,KARNATAKA,Bangalore Rural,990923,213700,52903
584,KARNATAKA,Ramanagara,1082636,203819,22946
585,GOA,North Goa,818008,17606,56606
586,GOA,South Goa,640537,7843,92669
587,LAKSHADWEEP,Lakshadweep,64473,0,61120
588,KERALA,Kasaragod,1307375,53283,48857
589,KERALA,Kannur,2523003,83350,41371
590,KERALA,Wayanad,817420,32578,151443
591,KERALA,Kozhikode,3086293,199191,15228
592,KERALA,Malappuram,4112920,308266,22990
593,KERALA,Palakkad,2809934,403833,48972
594,KERALA,Thrissur,3121200,324350,9430
595,KERALA,Ernakulam,3282388,268411,16559
596,KERALA,Idukki,1108974,145486,55815
597,KERALA,Kottayam,1974551,153909,21972
598,KERALA,Alappuzha,2127789,201211,6574
599,KERALA,Pathanamthitta,1197412,164465,8108
600,KERALA,Kollam,2635375,328263,10761
601,KERALA,Thiruvananthapuram,3301427,372977,26759
602,TAMIL NADU,Thiruvallur,3728104,821646,47243
603,TAMIL NADU,Chennai,4646732,779667,10061
604,TAMIL NADU,Kancheepuram,3998252,948081,41210
605,TAMIL NADU,Vellore,3936331,860212,72955
606,TAMIL NADU,Tiruvannamalai,2464875,565329,90954
607,TAMIL NADU,Viluppuram,3458873,1015716,74859
608,TAMIL NADU,Salem,3482056,580512,119369
609,TAMIL NADU,Namakkal,1726601,345392,57059
610,TAMIL NADU,Erode,2251744,369483,21880
611,TAMIL NADU,The Nilgiris,735394,235878,32813
612,TAMIL NADU,Dindigul,2159775,452376,8064
613,TAMIL NADU,Karur,1064493,221385,575
614,TAMIL NADU,Tiruchirappalli,2722290,466561,18198
615,TAMIL NADU,Perambalur,565223,175289,2584
616,TAMIL NADU,Ariyalur,754894,176230,10722
617,TAMIL NADU,Cuddalore,2605914,763944,15702
618,TAMIL NADU,Nagapattinam,1616450,509767,3756
619,TAMIL NADU,Thiruvarur,1264277,430927,3034
620,TAMIL NADU,Thanjavur,2405890,455062,3561
621,TAMIL NADU,Pudukkottai,1618345,284804,1283
622,TAMIL NADU,Sivaganga,1339101,227746,790
623,TAMIL NADU,Madurai,3038252,408976,11096
624,TAMIL NADU,Theni,1245899,258200,1835
625,TAMIL NADU,Virudhunagar,1942288,399831,2294
626,TAMIL NADU,Ramanathapuram,1353445,249008,1105
627,TAMIL NADU,Thoothukkudi,1750176,347895,4911
628,TAMIL NADU,Tirunelveli,3077233,569714,10270
629,TAMIL NADU,Kanniyakumari,1870374,74249,7282
630,TAMIL NADU,Dharmapuri,1506843,245392,63044
631,TAMIL NADU,Krishnagiri,1879809,267386,22388
632,TAMIL NADU,Coimbatore,3458045,535911,28342
633,TAMIL NADU,Tiruppur,2479052,395876,5458
634,PONDICHERRY,Yanam,55626,8427,0
635,PONDICHERRY,PONDICHERRY,950289,152406,0
636,PONDICHERRY,Mahe,41816,144,0
637,PONDICHERRY,Karaikal,200222,35348,0
